customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1000-XYZ,Male,0,No,Yes,57.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),37.52,2062.65,Yes
1001-XYZ,Female,0,No,Yes,72.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),,2391.12,Yes
1002-XYZ,Male,0,No,No,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.72,712.13,Yes
1003-XYZ,Male,1,No,Yes,56.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,,2063.92,No
1004-XYZ,Male,0,Yes,Yes,67.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.66,4491.89,No
1005-XYZ,Female,0,Yes,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),63.15,1017.14,No
1006-XYZ,Male,1,No,No,51.0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),75.96,4057.39,Yes
1007-XYZ,Male,1,Yes,No,72.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.72,7458.54,Yes
1008-XYZ,Male,1,No,Yes,12.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),104.77,1335.24,No
1009-XYZ,Female,0,Yes,No,53.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.11,3618.92,Yes
1010-XYZ,Male,0,No,Yes,5.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,19.54,101.5,Yes
1011-XYZ,Male,0,No,Yes,27.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,60.64,1658.66,No
1012-XYZ,Male,1,Yes,No,12.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.62,930.56,No
1013-XYZ,Male,1,Yes,Yes,17.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,73.78,1193.3,No
1014-XYZ,Female,0,No,No,6.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),83.13,449.92,Yes
1015-XYZ,Male,0,No,No,5.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,33.41,150.62,Yes
1016-XYZ,Female,0,Yes,No,57.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,82.65,4465.59,No
1017-XYZ,Female,1,Yes,No,28.0,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),36.27,1114.43,Yes
1018-XYZ,Female,1,No,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.05,5942.02,Yes
1019-XYZ,Male,0,Yes,No,59.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.91,3281.95,No
1020-XYZ,Female,0,No,No,33.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.99,2816.9,No
1021-XYZ,Male,0,No,No,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.79,1473.7,No
1022-XYZ,Female,1,No,No,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,58.79,3037.41,No
1023-XYZ,Female,1,No,Yes,19.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,88.5,1805.97,No
1024-XYZ,Female,1,Yes,No,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,40.69,2768.22,No
1025-XYZ,Female,0,Yes,Yes,66.0,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.53,6846.64,Yes
1026-XYZ,Female,0,Yes,No,47.0,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,81.08, ,No
1027-XYZ,Female,0,Yes,No,39.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),76.76,2803.78,Yes
1028-XYZ,Female,0,Yes,Yes,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,53.35,3897.73,Yes
1029-XYZ,Female,1,Yes,No,33.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,66.25,2176.1,No
1030-XYZ,Male,1,Yes,Yes,13.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),77.73,989.29,No
1031-XYZ,Male,1,No,No,54.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,65.25,3427.4,Yes
1032-XYZ,Female,1,Yes,No,7.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,87.83,675.45,Yes
1033-XYZ,Female,0,Yes,No,14.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),61.37,792.99,No
1034-XYZ,Female,0,No,No,19.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),38.23,661.25,No
1035-XYZ,Male,1,Yes,No,54.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,39.39,1959.16,No
1036-XYZ,Female,1,Yes,Yes,20.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,18.58,404.36,Yes
1037-XYZ,Male,0,No,Yes,29.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,48.1,1300.51,Yes
1038-XYZ,Male,0,Yes,Yes,24.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),92.89,2236.29,Yes
1039-XYZ,Male,0,Yes,Yes,63.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),97.42,5795.72,Yes
1040-XYZ,Male,1,Yes,No,57.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.25,2097.21,Yes
1041-XYZ,Male,0,No,No,8.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,113.9,939.76,Yes
1042-XYZ,Female,0,Yes,No,62.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),68.24,4476.2,No
1043-XYZ,Female,0,Yes,Yes,29.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,109.7,3047.99,Yes
1044-XYZ,Female,0,No,No,17.0,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),88.68,1639.01,No
1045-XYZ,Female,0,Yes,No,66.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),90.24,5410.46,Yes
