customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,churn
CUST-00001,Male,0,Yes,Yes,17.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,65.11,1126.0,Yes
CUST-00002,Female,1,Yes,No,28.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,48.69,1355.06,Yes
CUST-00003,Male,0,Yes,Yes,41.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),105.39,,Yes
CUST-00004,Male,0,Yes,Yes,66.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.93,6166.56,No
CUST-00005,Male,0,No,Yes,25.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,103.81,2583.12,No
CUST-00006,Female,0,Yes,No,58.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,34.18,1986.73,Yes
CUST-00007,Male,0,Yes,No,41.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.24,3591.84,No
CUST-00008,Male,0,No,Yes,6.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),115.51,696.71,Yes
CUST-00009,Male,1,No,Yes,38.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),79.19,2991.75,Yes
CUST-00010,Female,0,No,Yes,6.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Mailed check,35.14,209.96,No
CUST-00011,Male,0,Yes,Yes,45.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),117.58,5303.48,Yes
CUST-00012,Male,0,No,Yes,14.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),70.83,992.7,Yes
CUST-00013,Male,0,Yes,Yes,66.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,102.01,6732.78,No
CUST-00014,Male,0,Yes,Yes,40.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,32.94,1314.68,No
CUST-00015,Female,0,Yes,Yes,3.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,84.61,263.65,No
CUST-00016,Male,0,No,Yes,24.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),109.26,2625.56,No
CUST-00017,Female,0,No,No,19.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.2,1348.23,Yes
CUST-00018,Female,1,No,Yes,18.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),46.87,842.07,No
CUST-00019,Female,0,No,Yes,64.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),30.74,1988.71,No
CUST-00020,Male,1,No,No,35.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),47.59,1657.31,No
CUST-00021,Female,0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,53.49,3303.97,No
CUST-00022,Male,1,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),89.0,89.0,No
CUST-00023,Female,0,Yes,Yes,25.0,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,35.86,879.99,No
CUST-00024,Female,0,Yes,Yes,45.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,28.61,1286.62,No
CUST-00025,Female,0,No,Yes,49.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,56.69,2787.24,No
CUST-00026,Female,0,No,Yes,16.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),63.87,1039.39,No
CUST-00027,Female,0,Yes,No,19.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),80.84,1532.55,No
CUST-00028,Female,0,No,Yes,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,88.75,2038.99,Yes
CUST-00029,Female,0,No,Yes,25.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,106.93,2678.0,Yes
CUST-00030,Female,0,Yes,Yes,16.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.9,747.8,No
CUST-00031,Male,0,Yes,Yes,54.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,70.86,3827.74,Yes
CUST-00032,Male,0,No,Yes,1.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),54.6,57.92,No
CUST-00033,Female,0,No,No,42.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.14,771.75,Yes
CUST-00034,Female,0,Yes,Yes,19.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.94,,Yes
CUST-00035,Female,0,Yes,Yes,34.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),99.58,3382.83,No
CUST-00036,Male,1,Yes,Yes,55.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,21.64,1182.55,No
CUST-00037,Female,0,No,Yes,18.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),18.35,326.43,Yes
