iter	Logloss
0	0.6907661438
1	0.6881171417
2	0.685051651
3	0.6823094177
4	0.6799835968
5	0.6768929291
6	0.6739608765
7	0.6717190552
8	0.669485321
9	0.6671704865
10	0.6645959473
11	0.6623538208
12	0.6611082458
13	0.6591085052
14	0.6572186279
15	0.6554268646
16	0.6536808777
17	0.652283783
18	0.6503283691
19	0.6482478333
20	0.6460807037
21	0.6438502502
22	0.6422088623
23	0.640667038
24	0.6387150574
25	0.6370272064
26	0.6347855377
27	0.6334545135
28	0.6320041656
29	0.6297566223
30	0.6286743927
31	0.6271393585
32	0.625226593
33	0.6234492874
34	0.6214759064
35	0.62003685
36	0.6186574554
37	0.6168288422
38	0.6148960876
39	0.6129520416
40	0.6113191605
41	0.6096774292
42	0.6081406021
43	0.607310257
44	0.6058480835
45	0.6043634415
46	0.6025507355
47	0.6007841492
48	0.5995310593
49	0.5981917572
50	0.5971372986
51	0.5961098099
52	0.5955028915
53	0.5939252472
54	0.592359581
55	0.5911853027
56	0.589621582
57	0.5882188416
58	0.5867663193
59	0.5856736755
60	0.5848057938
61	0.5831118774
62	0.5820466614
63	0.5813610458
64	0.5799565887
65	0.5786509705
66	0.5771835327
67	0.5759643555
68	0.5751868439
69	0.5738680267
70	0.5725247192
71	0.5719233704
72	0.5709551239
73	0.5702275467
74	0.5689349365
75	0.5681559372
76	0.5670380783
77	0.5656713486
78	0.564244957
79	0.5635619354
80	0.5628139114
81	0.5617797089
82	0.5607351685
83	0.5594986725
84	0.5582440186
85	0.5572200012
86	0.5563829041
87	0.5560401154
88	0.5555384827
89	0.5545739746
90	0.5532008362
91	0.5522766876
92	0.5514854431
93	0.5507941437
94	0.5497967529
95	0.5493052673
96	0.5483003998
97	0.5478486633
98	0.5471426392
99	0.5461031342
100	0.5452131653
101	0.5442720795
102	0.5433058929
103	0.542234993
104	0.5414009094
105	0.540402832
106	0.539665947
107	0.5387358475
108	0.5379024887
109	0.5370074463
110	0.5361805344
111	0.5355306244
112	0.5348065186
113	0.5341080475
114	0.5336241913
115	0.5329322052
116	0.5322160721
117	0.5311737442
118	0.5304670334
119	0.5298097992
120	0.5289824677
121	0.5283421326
122	0.5275451279
123	0.5269819641
124	0.5262397003
125	0.5256065369
126	0.524694519
127	0.5241056061
128	0.5231355286
129	0.5223123932
130	0.5213985443
131	0.5207077026
132	0.5200593185
133	0.5189151764
134	0.5183980179
135	0.5179403687
136	0.5173545074
137	0.5168463135
138	0.5163724518
139	0.515454483
140	0.5149658203
141	0.5140111542
142	0.513253479
143	0.5127513885
144	0.5123438263
145	0.5117038345
146	0.5111019135
147	0.5107303619
148	0.5101744843
149	0.5096748734
150	0.5091175842
151	0.5085944366
152	0.5080867767
153	0.5074628067
154	0.5070258331
155	0.5064886093
156	0.5059350967
157	0.5050856781
158	0.5044538116
159	0.5035887146
160	0.5031367111
161	0.5024858856
162	0.5017356873
163	0.5014227295
164	0.5009838867
165	0.5003076935
166	0.4995500946
167	0.4992032623
168	0.498525238
169	0.4978268814
170	0.4971720886
171	0.4966170502
172	0.4963665771
173	0.4956053162
174	0.4950498962
175	0.4947058868
176	0.4942134476
177	0.4937384796
178	0.4934666443
179	0.4930547333
180	0.4925192261
181	0.4917734528
182	0.4912986755
183	0.4905646515
184	0.4899330521
185	0.4892312622
186	0.4888095093
187	0.4884031296
188	0.4879156494
189	0.4872205353
190	0.4868247986
191	0.4861775208
192	0.4855339432
193	0.4849325562
194	0.4842758179
195	0.4838061905
196	0.4833750153
197	0.4827256775
198	0.4823107147
199	0.4816713333
200	0.4809960175
201	0.4807197571
202	0.4802438354
203	0.4801398087
204	0.4796121216
205	0.479161377
206	0.4786692429
207	0.4781246185
208	0.4774275589
209	0.4770592499
210	0.4763981628
211	0.4757229614
212	0.4750121689
213	0.4745479584
214	0.4740287018
215	0.4735188675
216	0.4731288147
217	0.4727227402
218	0.472301178
219	0.4719329071
220	0.4714329529
221	0.4708734131
222	0.470446701
223	0.4699401855
224	0.4694601822
225	0.4691131592
226	0.4687208557
227	0.4682134247
228	0.4679662704
229	0.4674733734
230	0.4670561218
231	0.466616745
232	0.4661165237
233	0.465737915
234	0.4650522232
235	0.4644239426
236	0.4637900925
237	0.4632830429
238	0.4630251694
239	0.4626307678
240	0.4623635864
241	0.4617221069
242	0.4614301682
243	0.4609765244
244	0.4605079651
245	0.4601517487
246	0.4599382401
247	0.4595682907
248	0.4590094757
249	0.4587215424
250	0.4582352066
251	0.4579980469
252	0.457556839
253	0.4569625092
254	0.4566521454
255	0.4559339142
256	0.4554988098
257	0.4549529266
258	0.4545462036
259	0.4539715576
260	0.4538885498
261	0.4537271118
262	0.4533512878
263	0.4528984833
264	0.4525308609
265	0.4519966507
266	0.4515067673
267	0.4510100555
268	0.4506188965
269	0.4501984406
270	0.4498860931
271	0.4493661499
272	0.4489585114
273	0.4483620834
274	0.4478002548
275	0.447364502
276	0.4468331909
277	0.4463900375
278	0.4459476089
279	0.4457048798
280	0.4452627563
281	0.4445864868
282	0.444150238
283	0.4437947845
284	0.4435152054
285	0.4430337143
286	0.4425273895
287	0.4421035385
288	0.4417352295
289	0.4414697647
290	0.4410441589
291	0.4408489227
292	0.4404298401
293	0.440148468
294	0.4397985077
295	0.4393963623
296	0.4393090057
297	0.4389730072
298	0.4384607697
299	0.4380104065
300	0.4377442551
301	0.4375138092
302	0.4370920563
303	0.4368505096
304	0.4364123154
305	0.4359407043
306	0.4353243256
307	0.4347115707
308	0.4342100525
309	0.4340149307
310	0.4335364151
311	0.4331302643
312	0.4324478912
313	0.4319274902
314	0.4318888092
315	0.4315803528
316	0.4311811066
317	0.4307075882
318	0.4304187012
319	0.4301850891
320	0.4299956131
321	0.4296206665
322	0.4292630005
323	0.4288233185
324	0.4283708191
325	0.4281254196
326	0.4280054474
327	0.4276352692
328	0.4271053696
329	0.4267533112
330	0.426482048
331	0.4260396576
332	0.4257726288
333	0.4250915909
334	0.4247109604
335	0.424041214
336	0.4237401581
337	0.423091011
338	0.4228514862
339	0.422416153
340	0.4220894623
341	0.4216355133
342	0.4212796783
343	0.4209928513
344	0.4207001114
345	0.42034729
346	0.4200775528
347	0.4196459961
348	0.4194341278
349	0.4191097641
350	0.4187386322
351	0.418235321
352	0.4178225327
353	0.4176045227
354	0.4172998047
355	0.4168848038
356	0.4165667725
357	0.416133728
358	0.4155807495
359	0.4151718903
360	0.4149052811
361	0.4145581055
362	0.4141327667
363	0.413944397
364	0.4135597992
365	0.41301651
366	0.4127269363
367	0.4125997925
368	0.4122457123
369	0.4119452286
370	0.411700058
371	0.4114159775
372	0.4112663651
373	0.4109952927
374	0.410560379
375	0.4103286362
376	0.4099824142
377	0.4095085526
378	0.4091291046
379	0.4087837982
380	0.408514328
381	0.4080535126
382	0.4077164459
383	0.4072897339
384	0.4068917847
385	0.4064170456
386	0.4063826752
387	0.4060922623
388	0.4059597015
389	0.4056528854
390	0.4052308655
391	0.4050471878
392	0.4048483276
393	0.4045115662
394	0.4041910553
395	0.4037651062
396	0.4035116196
397	0.4032369232
398	0.40283638
399	0.4025972748
400	0.4022198486
401	0.4018332672
402	0.401536026
